date,transactions,oil-price,holiday-type
2013-01-01,770,93.14,Holiday
2013-01-02,93215,93.14,Normal
2013-01-03,78504,92.97,Normal
2013-01-04,78494,93.12,Normal
2013-01-05,93573,93.2,Work Day
2013-01-06,90464,93.2,Normal
2013-01-07,75597,93.2,Normal
2013-01-08,72325,93.21,Normal
2013-01-09,71971,93.08,Normal
2013-01-10,66383,93.81,Normal
2013-01-11,70338,93.6,Normal
2013-01-12,85511,94.27,Work Day
2013-01-13,86306,94.27,Normal
2013-01-14,70078,94.27,Normal
2013-01-15,71134,93.26,Normal
2013-01-16,72471,94.28,Normal
2013-01-17,68873,95.49,Normal
2013-01-18,71371,95.61,Normal
2013-01-19,88558,96.09,Normal
2013-01-20,85281,96.09,Normal
2013-01-21,73250,96.09,Normal
2013-01-22,68988,96.09,Normal
2013-01-23,69819,95.06,Normal
2013-01-24,63705,95.35,Normal
2013-01-25,71273,95.15,Normal
2013-01-26,88022,95.95,Normal
2013-01-27,83304,95.95,Normal
2013-01-28,70389,95.95,Normal
2013-01-29,68435,97.62,Normal
2013-01-30,70888,97.98,Normal
2013-01-31,70268,97.65,Normal
2013-02-01,78302,97.46,Normal
2013-02-02,97347,96.21,Normal
2013-02-03,87026,96.21,Normal
2013-02-04,75330,96.21,Normal
2013-02-05,76206,96.68,Normal
2013-02-06,75291,96.44,Normal
2013-02-07,72789,95.84,Normal
2013-02-08,79726,95.71,Normal
2013-02-09,90342,97.01,Normal
2013-02-10,69963,97.01,Normal
2013-02-11,67222,97.01,Holiday
2013-02-12,71808,97.48,Holiday
2013-02-13,80098,97.03,Normal
2013-02-14,88681,97.3,Normal
2013-02-15,75789,95.95,Normal
2013-02-16,92816,96.69,Normal
2013-02-17,77449,96.69,Normal
2013-02-18,76437,96.69,Normal
2013-02-19,70645,96.69,Normal
2013-02-20,73812,94.92,Normal
2013-02-21,68246,92.79,Normal
2013-02-22,70914,93.12,Normal
2013-02-23,88390,92.74,Normal
2013-02-24,84125,92.74,Normal
2013-02-25,72167,92.74,Normal
2013-02-26,68706,92.63,Normal
2013-02-27,70170,92.84,Normal
2013-02-28,69818,92.03,Normal
2013-03-01,79524,90.71,Normal
2013-03-02,98616,90.13,Holiday
2013-03-03,92716,90.13,Normal
2013-03-04,79078,90.13,Normal
2013-03-05,75134,90.88,Normal
2013-03-06,76519,90.47,Normal
2013-03-07,73910,91.53,Normal
2013-03-08,78231,92.01,Normal
2013-03-09,92462,92.07,Normal
2013-03-10,86322,92.07,Normal
2013-03-11,75161,92.07,Normal
2013-03-12,69346,92.44,Normal
2013-03-13,72010,92.47,Normal
2013-03-14,67393,93.03,Normal
2013-03-15,75533,93.49,Normal
2013-03-16,91900,93.71,Normal
2013-03-17,89346,93.71,Normal
2013-03-18,74418,93.71,Normal
2013-03-19,71841,92.44,Normal
2013-03-20,74145,93.21,Normal
2013-03-21,69157,92.46,Normal
2013-03-22,71990,93.41,Normal
2013-03-23,91923,94.55,Normal
2013-03-24,83439,94.55,Normal
2013-03-25,72992,94.55,Normal
2013-03-26,68469,95.99,Normal
2013-03-27,74049,96.53,Normal
2013-03-28,82104,97.24,Normal
2013-03-29,77781,97.1,Normal
2013-03-30,90611,97.1,Normal
2013-03-31,82563,97.1,Normal
2013-04-01,81678,97.1,Holiday
2013-04-02,77165,97.23,Normal
2013-04-03,78534,95.02,Normal
2013-04-04,72217,93.26,Normal
2013-04-05,74928,92.76,Normal
2013-04-06,94844,93.36,Normal
2013-04-07,89183,93.36,Normal
2013-04-08,75161,93.36,Normal
2013-04-09,71416,94.18,Normal
2013-04-10,73989,94.59,Normal
2013-04-11,71907,93.44,Normal
2013-04-12,75403,91.23,Holiday
2013-04-13,92166,88.75,Normal
2013-04-14,86803,88.75,Holiday
2013-04-15,76251,88.75,Normal
2013-04-16,74187,88.73,Normal
2013-04-17,74529,86.65,Normal
2013-04-18,68343,87.83,Normal
2013-04-19,73119,88.04,Normal
2013-04-20,92014,88.81,Normal
2013-04-21,87401,88.81,Holiday
2013-04-22,75157,88.81,Normal
2013-04-23,71657,89.21,Normal
2013-04-24,73003,91.07,Normal
2013-04-25,68917,93.27,Normal
2013-04-26,72813,92.63,Normal
2013-04-27,89825,94.09,Normal
2013-04-28,86773,94.09,Normal
2013-04-29,72009,94.09,Holiday
2013-04-30,73513,93.22,Normal
2013-05-01,90548,90.74,Holiday
2013-05-02,73639,93.7,Normal
2013-05-03,76685,95.25,Normal
2013-05-04,96689,95.8,Normal
2013-05-05,95212,95.8,Normal
2013-05-06,76383,95.8,Normal
2013-05-07,72563,95.28,Normal
2013-05-08,74802,96.24,Normal
2013-05-09,75025,96.09,Normal
2013-05-10,80282,95.81,Normal
2013-05-11,111484,94.76,Additional
2013-05-12,89790,94.76,Holiday
2013-05-12,89790,94.76,Event
2013-05-13,75625,94.76,Normal
2013-05-14,71589,93.96,Normal
2013-05-15,74401,93.95,Normal
2013-05-16,71287,94.85,Normal
2013-05-17,74705,95.72,Normal
2013-05-18,91973,96.29,Normal
2013-05-19,89031,96.29,Normal
2013-05-20,74613,96.29,Normal
2013-05-21,70601,95.55,Normal
2013-05-22,71763,93.98,Normal
2013-05-23,70843,94.12,Normal
2013-05-24,78945,93.84,Holiday
2013-05-25,85230,94.65,Normal
2013-05-26,81869,94.65,Normal
2013-05-27,72144,94.65,Normal
2013-05-28,71801,94.65,Normal
2013-05-29,73970,93.13,Normal
2013-05-30,77052,93.57,Normal
2013-05-31,76921,91.93,Normal
2013-06-01,101740,93.41,Normal
2013-06-02,98018,93.41,Normal
2013-06-03,80648,93.41,Normal
2013-06-04,76213,93.36,Normal
2013-06-05,77605,93.66,Normal
2013-06-06,72282,94.71,Normal
2013-06-07,79014,96.11,Normal
2013-06-08,89783,95.82,Normal
2013-06-09,89751,95.82,Normal
2013-06-10,74546,95.82,Normal
2013-06-11,68636,95.5,Normal
2013-06-12,73386,95.98,Normal
2013-06-13,69703,96.66,Normal
2013-06-14,76434,97.83,Normal
2013-06-15,102541,97.86,Normal
2013-06-16,87839,97.86,Normal
2013-06-17,76236,97.86,Normal
2013-06-18,73179,98.46,Normal
2013-06-19,68613,98.24,Normal
2013-06-20,69984,94.89,Normal
2013-06-21,73717,93.81,Normal
2013-06-22,88681,95.07,Normal
2013-06-23,86152,95.07,Holiday
2013-06-24,73403,95.07,Normal
2013-06-25,70549,95.25,Holiday
2013-06-25,70549,95.25,Holiday
2013-06-25,70549,95.25,Holiday
2013-06-26,71009,95.47,Normal
2013-06-27,67340,97.0,Normal
2013-06-28,74172,96.36,Normal
2013-06-29,93531,97.94,Normal
2013-06-30,87501,97.94,Normal
2013-07-01,81850,97.94,Normal
2013-07-02,79187,99.65,Normal
2013-07-03,78437,101.92,Holiday
2013-07-03,78437,101.92,Holiday
2013-07-04,75664,103.09,Normal
